5626;450000;900000;0;28125
1;0;1;0;0
1;0;1;0;0
1;0;1;0;0
1;1;1;1;3
1;1;1;1;3
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
3;1;1;1;0;13
1;0;1;0;0;0
1;0;1;0;0;0
3;1;1;1;0;13
3;1;1;1;0;13
3;1;1;1;0;13
3;1;1;1;0;13
3;1;1;1;0;13
6;0;1;0;0;25
4;1;1;1;0;18
4;0;1;0;0;15
3;1;1;1;0;14
6;1;1;1;0;28
6;0;1;0;0;26
6;1;1;1;0;27
6;1;1;1;0;27
6;0;1;0;0;27
6;0;1;0;0;27
6;0;1;0;0;27
6;0;1;0;0;27
6;0;1;0;0;27
6;0;1;0;0;27
6;0;1;0;0;27
6;0;1;0;0;27
3;1;1;1;0;13
1;0;1;0;0;0
1;0;1;0;0;0
1;2;1;2;0;3
1;0;1;0;0;0
1;2;1;2;0;3
1;0;1;0;0;0
1;0;1;0;0;0
1;0;1;0;0;0
1;2;1;2;0;3
1;2;1;2;0;3
1;2;1;2;0;2
1;2;1;2;0;2
1;2;1;2;0;2
1;2;1;2;0;2
1;2;1;2;0;2
